"respondent","condition","stimuli","accuracy","latency"
2,"WGBB","horrible",1,1362
2,"WGBB","wf2",1,709
2,"WGBB","pain",1,706
2,"WGBB","wf6",1,528
2,"WGBB","terrible",1,621
2,"WGBB","bf14",1,598
2,"WGBB","joy",1,480
2,"WGBB","bf56",1,518
2,"WGBB","wicked",1,507
2,"WGBB","bm23",1,432
2,"WGBB","failure",1,528
2,"WGBB","wm4",1,485
2,"WGBB","love",1,435
2,"WGBB","bm14",1,507
2,"WGBB","hate",1,633
2,"WGBB","wf3",1,521
2,"WGBB","evil",1,1038
2,"WGBB","bm56",1,470
2,"WGBB","annoying",1,645
2,"WGBB","wm6",1,476
2,"WGBB","wm1",1,798
2,"WGBB","pleasure",1,504
2,"WGBB","bf23",1,478
2,"WGBB","peace",1,564
2,"WGBB","wf3",1,479
2,"WGBB","pain",1,550
2,"WGBB","bf23",1,402
2,"WGBB","failure",1,427
2,"WGBB","wm1",1,436
2,"WGBB","terrible",1,516
2,"WGBB","bf14",1,457
2,"WGBB","wicked",1,537
2,"WGBB","wm4",1,429
2,"WGBB","glory",1,405
2,"WGBB","bm56",1,423
2,"WGBB","laughter",1,496
2,"WGBB","bf56",1,765
2,"WGBB","annoying",1,472
2,"WGBB","bm14",1,431
2,"WGBB","good",1,488
2,"WGBB","bm23",1,605
2,"WGBB","bm23",1,580
2,"WGBB","peace",1,487
2,"WGBB","bf56",1,502
2,"WGBB","good",1,452
2,"WGBB","wm6",1,579
2,"WGBB","horrible",1,582
2,"WGBB","wf2",1,528
2,"WGBB","laughter",1,645
2,"WGBB","wf6",1,436
2,"WGBB","wm6",1,447
2,"WGBB","joy",1,391
2,"WGBB","wm1",1,361
2,"WGBB","pleasure",1,365
2,"WGBB","bm56",1,495
2,"WGBB","glory",1,462
2,"WGBB","wm4",1,373
2,"WGBB","evil",1,472
2,"BGWB","failure",1,1525
2,"BGWB","wm4",1,1233
2,"BGWB","pain",0,2520
2,"BGWB","bm56",1,902
2,"BGWB","bm14",1,471
2,"BGWB","evil",0,1728
2,"BGWB","bf14",1,945
2,"BGWB","hate",1,1422
2,"BGWB","wf3",1,1239
2,"BGWB","glory",1,1599
2,"BGWB","wf6",1,785
2,"BGWB","laughter",1,1996
2,"BGWB","bm23",1,1038
2,"BGWB","terrible",1,966
2,"BGWB","wm6",1,1001
2,"BGWB","love",1,1203
2,"BGWB","bf23",1,781
2,"BGWB","annoying",1,695
2,"BGWB","bf56",1,885
2,"BGWB","bf23",1,1251
2,"BGWB","pleasure",1,571
2,"BGWB","bm56",1,502
2,"BGWB","horrible",1,523
2,"BGWB","bm23",1,568
2,"BGWB","peace",1,459
2,"BGWB","wm1",1,522
2,"BGWB","wicked",0,1384
2,"BGWB","bf14",1,1001
2,"BGWB","joy",1,506
2,"BGWB","wf2",1,608
2,"BGWB","good",0,2708
2,"BGWB","wm1",1,1335
2,"BGWB","joy",1,1332
2,"BGWB","wf6",1,744
2,"BGWB","wicked",1,1124
2,"BGWB","wf3",1,1201
2,"BGWB","pleasure",0,1299
2,"BGWB","bf56",1,863
2,"BGWB","wm4",1,999
2,"BGWB","glory",1,2025
2,"BGWB","wm6",1,1017
2,"BGWB","terrible",1,1003
2,"BGWB","bm14",1,684
2,"BGWB","failure",1,1003
2,"BGWB","bm14",1,860
2,"BGWB","pain",1,716
2,"BGWB","wf2",1,929
2,"BGWB","peace",1,670
2,"BGWB","wm6",1,1045
2,"BGWB","good",0,1117
2,"BGWB","wf2",1,1122
2,"BGWB","annoying",1,1415
2,"BGWB","bf23",1,1328
2,"BGWB","evil",1,909
2,"BGWB","wm4",1,1330
2,"BGWB","laughter",1,871
2,"BGWB","bf14",1,654
2,"BGWB","hate",1,1046
3,"WGBB","love",1,1028
3,"WGBB","bf14",1,1372
3,"WGBB","annoying",1,1119
3,"WGBB","bm23",1,820
3,"WGBB","pain",1,982
3,"WGBB","wm4",1,856
3,"WGBB","terrible",1,1248
3,"WGBB","wf2",1,895
3,"WGBB","good",1,958
3,"WGBB","bm56",1,825
3,"WGBB","hate",1,834
3,"WGBB","bm14",1,843
3,"WGBB","pleasure",1,675
3,"WGBB","bf56",1,713
3,"WGBB","peace",1,687
3,"WGBB","wm6",1,733
3,"WGBB","wm1",1,865
3,"WGBB","glory",1,824
3,"WGBB","wf6",1,537
3,"WGBB","bf23",1,842
3,"WGBB","laughter",1,666
3,"WGBB","wf3",1,521
3,"WGBB","joy",1,518
3,"WGBB","wf3",1,475
3,"WGBB","failure",1,690
3,"WGBB","wm6",1,552
3,"WGBB","bf56",1,643
3,"WGBB","horrible",1,747
3,"WGBB","wm1",1,527
3,"WGBB","evil",1,524
3,"WGBB","bm14",1,480
3,"WGBB","peace",1,471
3,"WGBB","wm4",1,534
3,"WGBB","joy",1,538
3,"WGBB","bm56",1,455
3,"WGBB","wicked",1,494
3,"WGBB","wf2",1,372
3,"WGBB","wicked",0,794
3,"WGBB","bf14",1,551
3,"WGBB","pleasure",1,487
3,"WGBB","bm23",1,525
3,"WGBB","good",1,546
3,"WGBB","wf6",1,541
3,"WGBB","pain",1,489
3,"WGBB","bf23",1,519
3,"WGBB","failure",1,469
3,"WGBB","wf6",1,499
3,"WGBB","laughter",1,649
3,"WGBB","wf3",1,520
3,"WGBB","annoying",1,517
3,"WGBB","bf23",1,474
3,"WGBB","love",1,449
3,"WGBB","bf14",1,473
3,"WGBB","evil",1,584
3,"WGBB","bm56",1,434
3,"WGBB","hate",1,714
3,"WGBB","wm1",1,820
3,"WGBB","terrible",0,813
3,"BGWB","joy",1,796
3,"BGWB","wm4",1,1110
3,"BGWB","failure",1,916
3,"BGWB","bf23",1,617
3,"BGWB","glory",0,1235
3,"BGWB","bm56",1,545
3,"BGWB","pleasure",1,1261
3,"BGWB","wf3",1,561
3,"BGWB","laughter",1,861
3,"BGWB","bm23",0,1357
3,"BGWB","love",1,894
3,"BGWB","wf6",1,772
3,"BGWB","hate",1,831
3,"BGWB","wf2",1,1191
3,"BGWB","pain",0,1145
3,"BGWB","bf56",1,754
3,"BGWB","good",1,998
3,"BGWB","bf14",1,1031
3,"BGWB","peace",0,1033
3,"BGWB","bm14",1,831
3,"BGWB","wm1",1,1073
3,"BGWB","bm14",1,632
3,"BGWB","love",1,681
3,"BGWB","bm56",1,503
3,"BGWB","wm6",1,564
3,"BGWB","laughter",1,1151
3,"BGWB","wm4",1,659
3,"BGWB","wicked",1,699
3,"BGWB","bf56",1,536
3,"BGWB","horrible",1,549
3,"BGWB","wm6",0,852
3,"BGWB","annoying",1,668
3,"BGWB","wm1",1,651
3,"BGWB","terrible",1,811
3,"BGWB","bf23",1,524
3,"BGWB","evil",0,1247
3,"BGWB","wf2",1,984
3,"BGWB","pleasure",1,682
3,"BGWB","bf14",1,496
3,"BGWB","evil",1,575
3,"BGWB","wf3",0,752
3,"BGWB","peace",1,468
3,"BGWB","wf6",0,866
3,"BGWB","joy",1,661
3,"BGWB","bm23",0,1497
3,"BGWB","pain",1,1241
3,"BGWB","bf14",1,849
3,"BGWB","wicked",1,681
3,"BGWB","wf2",1,679
3,"BGWB","glory",1,1390
3,"BGWB","wf6",0,895
3,"BGWB","annoying",0,1195
3,"BGWB","wf3",1,703
3,"BGWB","hate",1,1277
3,"BGWB","bm14",1,755
3,"BGWB","terrible",1,1463
3,"BGWB","bf23",1,726
3,"BGWB","horrible",1,803
4,"WGBB","evil",1,860
4,"WGBB","wf2",1,1059
4,"WGBB","laughter",1,1107
4,"WGBB","wf6",1,665
4,"WGBB","horrible",1,616
4,"WGBB","bm56",1,625
4,"WGBB","annoying",0,1005
4,"WGBB","bm23",1,819
4,"WGBB","terrible",1,580
4,"WGBB","wm1",1,590
4,"WGBB","joy",1,464
4,"WGBB","wm4",1,615
4,"WGBB","peace",1,472
4,"WGBB","bf23",1,551
4,"WGBB","pain",1,459
4,"WGBB","bm14",1,617
4,"WGBB","wicked",1,474
4,"WGBB","wf3",1,489
4,"WGBB","hate",1,495
4,"WGBB","wm6",1,557
4,"WGBB","wm6",1,577
4,"WGBB","wf2",1,450
4,"WGBB","glory",1,497
4,"WGBB","wm4",1,815
4,"WGBB","failure",1,480
4,"WGBB","bf56",1,446
4,"WGBB","pleasure",1,510
4,"WGBB","bf14",1,443
4,"WGBB","horrible",1,508
4,"WGBB","bf56",1,441
4,"WGBB","failure",1,505
4,"WGBB","bm23",1,447
4,"WGBB","evil",1,431
4,"WGBB","wm1",1,511
4,"WGBB","love",1,565
4,"WGBB","bf23",1,479
4,"WGBB","annoying",0,857
4,"WGBB","bm56",1,501
4,"WGBB","good",1,675
4,"WGBB","wf6",1,601
4,"WGBB","joy",1,539
4,"WGBB","bf14",1,567
4,"WGBB","wicked",1,594
4,"WGBB","bm14",1,436
4,"WGBB","peace",1,660
4,"WGBB","wf3",1,667
4,"WGBB","pleasure",1,530
4,"WGBB","bf14",1,558
4,"WGBB","wf3",1,546
4,"WGBB","love",1,495
4,"WGBB","bf56",1,612
4,"WGBB","glory",1,558
4,"WGBB","wm4",1,601
4,"WGBB","terrible",1,539
4,"WGBB","bm23",1,503
4,"WGBB","pain",1,573
4,"WGBB","wm1",1,504
4,"WGBB","good",1,629
4,"BGWB","failure",1,843
4,"BGWB","wf6",0,2193
4,"BGWB","pain",1,2164
4,"BGWB","bf56",1,768
4,"BGWB","bf23",0,1843
4,"BGWB","good",1,1247
4,"BGWB","wm6",1,903
4,"BGWB","laughter",1,1125
4,"BGWB","bf14",1,1393
4,"BGWB","wicked",1,2036
4,"BGWB","bm23",1,949
4,"BGWB","peace",1,1648
4,"BGWB","wm1",1,1032
4,"BGWB","terrible",0,1279
4,"BGWB","wf3",1,2062
4,"BGWB","love",1,1215
4,"BGWB","wm4",1,1016
4,"BGWB","hate",1,1513
4,"BGWB","bm14",1,1766
4,"BGWB","wf2",1,1161
4,"BGWB","glory",1,565
4,"BGWB","wm1",1,584
4,"BGWB","horrible",0,1733
4,"BGWB","bm56",1,1150
4,"BGWB","evil",1,970
4,"BGWB","bm23",0,995
4,"BGWB","annoying",0,1159
4,"BGWB","bf23",1,1369
4,"BGWB","terrible",0,1434
4,"BGWB","wf3",1,964
4,"BGWB","pleasure",0,1710
4,"BGWB","bf56",1,1140
4,"BGWB","wicked",1,993
4,"BGWB","wf2",1,930
4,"BGWB","annoying",1,887
4,"BGWB","wm4",1,1038
4,"BGWB","pain",1,1118
4,"BGWB","wf6",1,555
4,"BGWB","horrible",0,1710
4,"BGWB","wm6",1,1163
4,"BGWB","joy",1,823
4,"BGWB","bm14",1,912
4,"BGWB","peace",1,822
4,"BGWB","bm56",1,863
4,"BGWB","pleasure",1,550
4,"BGWB","wm4",1,746
4,"BGWB","glory",1,1230
4,"BGWB","bf14",1,1431
4,"BGWB","evil",1,807
4,"BGWB","bf23",1,729
4,"BGWB","failure",0,1971
4,"BGWB","bm23",1,1024
4,"BGWB","bm14",1,490
4,"BGWB","laughter",1,520
4,"BGWB","wf6",1,821
4,"BGWB","good",1,718
4,"BGWB","wf2",1,891
4,"BGWB","joy",1,1490
5,"BGWB","failure",1,1420
5,"BGWB","wm4",1,1141
5,"BGWB","laughter",1,689
5,"BGWB","bf23",1,519
5,"BGWB","bm14",1,1021
5,"BGWB","peace",1,726
5,"BGWB","wf6",1,690
5,"BGWB","evil",1,1169
5,"BGWB","bf14",1,724
5,"BGWB","terrible",0,1241
5,"BGWB","wf2",1,1416
5,"BGWB","glory",0,1634
5,"BGWB","bm56",1,897
5,"BGWB","good",1,751
5,"BGWB","bf56",1,915
5,"BGWB","wicked",0,1612
5,"BGWB","wf3",1,984
5,"BGWB","pleasure",1,979
5,"BGWB","wm6",0,1527
5,"BGWB","bm23",1,633
5,"BGWB","joy",1,1058
5,"BGWB","bm14",1,609
5,"BGWB","annoying",1,803
5,"BGWB","wm1",0,1337
5,"BGWB","pain",1,952
5,"BGWB","wm1",1,868
5,"BGWB","love",1,883
5,"BGWB","bf23",1,689
5,"BGWB","love",1,840
5,"BGWB","wf2",1,1312
5,"BGWB","laughter",1,918
5,"BGWB","bm23",1,635
5,"BGWB","peace",1,571
5,"BGWB","wf6",0,1157
5,"BGWB","wm4",0,1211
5,"BGWB","good",1,851
5,"BGWB","bf56",1,1242
5,"BGWB","hate",0,1611
5,"BGWB","wf3",1,675
5,"BGWB","joy",1,738
5,"BGWB","wm6",0,1306
5,"BGWB","horrible",1,875
5,"BGWB","wm4",1,993
5,"BGWB","wicked",1,756
5,"BGWB","bm56",1,799
5,"BGWB","horrible",1,737
5,"BGWB","wm6",0,1391
5,"BGWB","terrible",1,791
5,"BGWB","wm1",1,865
5,"BGWB","annoying",1,672
5,"BGWB","bf14",1,655
5,"BGWB","pain",1,743
5,"BGWB","bm23",1,666
5,"BGWB","failure",1,889
5,"BGWB","bf23",1,711
5,"BGWB","hate",0,1303
5,"BGWB","bm56",1,1354
5,"BGWB","pleasure",0,3291
5,"WGBB","joy",1,985
5,"WGBB","bm56",1,611
5,"WGBB","pain",1,661
5,"WGBB","wf6",1,748
5,"WGBB","love",0,1501
5,"WGBB","wf3",1,805
5,"WGBB","laughter",1,847
5,"WGBB","wf2",1,591
5,"WGBB","peace",1,833
5,"WGBB","wm1",1,625
5,"WGBB","good",1,690
5,"WGBB","bf23",1,736
5,"WGBB","hate",1,1077
5,"WGBB","wm4",1,1051
5,"WGBB","glory",1,859
5,"WGBB","bf14",1,562
5,"WGBB","horrible",1,805
5,"WGBB","wm6",1,631
5,"WGBB","annoying",1,983
5,"WGBB","bm23",1,538
5,"WGBB","wm4",1,674
5,"WGBB","wf3",1,611
5,"WGBB","pleasure",1,693
5,"WGBB","bf56",1,634
5,"WGBB","evil",1,730
5,"WGBB","bm14",1,567
5,"WGBB","good",1,634
5,"WGBB","bf23",1,738
5,"WGBB","love",1,814
5,"WGBB","wf2",1,1111
5,"WGBB","terrible",1,629
5,"WGBB","bf14",1,693
5,"WGBB","peace",1,931
5,"WGBB","bm23",1,616
5,"WGBB","wm6",1,728
5,"WGBB","laughter",1,645
5,"WGBB","wm1",1,597
5,"WGBB","failure",0,1489
5,"WGBB","wf6",1,748
5,"WGBB","wicked",1,600
5,"WGBB","bm14",1,626
5,"WGBB","pain",1,2123
5,"WGBB","wm4",1,656
5,"WGBB","horrible",1,504
5,"WGBB","wf6",1,581
5,"WGBB","wicked",1,639
5,"WGBB","bf56",1,584
5,"WGBB","glory",1,618
5,"WGBB","wf3",1,643
5,"WGBB","pleasure",1,819
5,"WGBB","bm56",1,524
5,"WGBB","annoying",0,1343
5,"WGBB","bm23",1,532
5,"WGBB","failure",1,696
5,"WGBB","bm56",1,678
5,"WGBB","hate",1,613
5,"WGBB","bm14",1,614
5,"WGBB","terrible",1,647
6,"BGWB","joy",1,664
6,"BGWB","bf56",1,1207
6,"BGWB","laughter",1,2657
6,"BGWB","bm56",1,1193
6,"BGWB","glory",1,740
6,"BGWB","bm14",1,600
6,"BGWB","pleasure",1,666
6,"BGWB","wf6",1,673
6,"BGWB","peace",1,792
6,"BGWB","wm6",1,697
6,"BGWB","love",1,711
6,"BGWB","wm4",1,788
6,"BGWB","good",1,631
6,"BGWB","bm23",1,719
6,"BGWB","pain",1,804
6,"BGWB","wf2",1,734
6,"BGWB","terrible",1,714
6,"BGWB","wf3",1,583
6,"BGWB","wicked",1,609
6,"BGWB","bf14",1,602
6,"BGWB","bf23",1,718
6,"BGWB","evil",0,2587
6,"BGWB","wm1",1,597
6,"BGWB","bf56",1,1285
6,"BGWB","hate",1,708
6,"BGWB","bf23",1,617
6,"BGWB","peace",1,1754
6,"BGWB","wf2",1,694
6,"BGWB","horrible",1,788
6,"BGWB","bf14",1,630
6,"BGWB","love",1,1951
6,"BGWB","wf3",1,779
6,"BGWB","annoying",1,814
6,"BGWB","wm1",1,575
6,"BGWB","failure",1,634
6,"BGWB","bm23",1,587
6,"BGWB","pain",1,685
6,"BGWB","bm14",1,739
6,"BGWB","glory",1,543
6,"BGWB","wm6",1,683
6,"BGWB","horrible",1,641
6,"BGWB","wf6",1,569
6,"BGWB","hate",1,588
6,"BGWB","wm4",1,591
6,"BGWB","failure",1,553
6,"BGWB","bm56",1,564
6,"BGWB","joy",1,536
6,"BGWB","bm56",1,588
6,"BGWB","evil",1,622
6,"BGWB","wf3",1,631
6,"BGWB","terrible",1,647
6,"BGWB","bf56",1,903
6,"BGWB","good",1,565
6,"BGWB","wf2",1,664
6,"BGWB","wicked",1,559
6,"BGWB","bm14",1,562
6,"BGWB","laughter",1,1342
6,"BGWB","wm4",1,642
6,"BGWB","pleasure",1,690
6,"WGBB","annoying",1,1577
6,"WGBB","wf6",1,603
6,"WGBB","hate",1,1077
6,"WGBB","wm6",1,667
6,"WGBB","good",1,658
6,"WGBB","wf3",1,489
6,"WGBB","peace",1,519
6,"WGBB","wm1",1,492
6,"WGBB","failure",1,554
6,"WGBB","bf14",1,550
6,"WGBB","laughter",1,634
6,"WGBB","wm4",1,482
6,"WGBB","love",1,560
6,"WGBB","wf2",1,467
6,"WGBB","joy",1,458
6,"WGBB","bm56",1,537
6,"WGBB","wicked",1,430
6,"WGBB","wm6",1,470
6,"WGBB","evil",1,653
6,"WGBB","bf23",1,444
6,"WGBB","bm14",1,575
6,"WGBB","terrible",1,418
6,"WGBB","wm4",1,546
6,"WGBB","pleasure",1,479
6,"WGBB","wf3",1,493
6,"WGBB","bf56",1,553
6,"WGBB","horrible",1,429
6,"WGBB","bm23",1,469
6,"WGBB","pain",0,1395
6,"WGBB","bf14",1,445
6,"WGBB","glory",1,581
6,"WGBB","bm56",1,600
6,"WGBB","glory",1,561
6,"WGBB","wf2",1,588
6,"WGBB","laughter",1,598
6,"WGBB","wf6",1,416
6,"WGBB","annoying",1,561
6,"WGBB","bm14",1,452
6,"WGBB","failure",1,515
6,"WGBB","wm1",1,648
6,"WGBB","wicked",1,640
6,"WGBB","bf23",1,560
6,"WGBB","terrible",1,508
6,"WGBB","bm23",1,497
6,"WGBB","pleasure",1,567
6,"WGBB","wm1",1,434
6,"WGBB","joy",1,498
6,"WGBB","bf56",1,560
6,"WGBB","pain",1,540
6,"WGBB","bm56",1,512
6,"WGBB","bf56",0,1095
6,"WGBB","peace",1,687
6,"WGBB","wm4",1,541
6,"WGBB","hate",1,633
6,"WGBB","wm6",1,609
6,"WGBB","evil",1,571
6,"WGBB","bf14",1,542
6,"WGBB","love",1,570
7,"BGWB","pleasure",1,1286
7,"BGWB","wm6",1,989
7,"BGWB","good",1,1271
7,"BGWB","wf2",0,1860
7,"BGWB","laughter",1,1237
7,"BGWB","bm23",1,1110
7,"BGWB","wicked",1,668
7,"BGWB","bf14",1,1018
7,"BGWB","bm56",1,525
7,"BGWB","terrible",1,626
7,"BGWB","wm1",1,498
7,"BGWB","peace",0,1080
7,"BGWB","wf6",1,1158
7,"BGWB","glory",1,1625
7,"BGWB","bf56",1,434
7,"BGWB","hate",1,770
7,"BGWB","bm14",1,669
7,"BGWB","love",1,892
7,"BGWB","wm4",1,618
7,"BGWB","wf3",1,766
7,"BGWB","joy",1,921
7,"BGWB","bf23",1,526
7,"BGWB","failure",1,739
7,"BGWB","wm6",1,503
7,"BGWB","joy",1,685
7,"BGWB","bf23",1,499
7,"BGWB","glory",1,641
7,"BGWB","wm4",1,537
7,"BGWB","peace",1,741
7,"BGWB","bf14",1,577
7,"BGWB","bm23",1,719
7,"BGWB","annoying",1,572
7,"BGWB","bm56",1,775
7,"BGWB","pain",1,906
7,"BGWB","wf3",1,392
7,"BGWB","horrible",1,690
7,"BGWB","bf56",1,488
7,"BGWB","evil",1,1254
7,"BGWB","bm14",1,702
7,"BGWB","good",0,1062
7,"BGWB","wf6",1,1922
7,"BGWB","horrible",1,1872
7,"BGWB","wf2",1,655
7,"BGWB","hate",1,759
7,"BGWB","bf56",1,458
7,"BGWB","failure",1,529
7,"BGWB","bm14",1,525
7,"BGWB","pain",1,906
7,"BGWB","wm1",1,720
7,"BGWB","annoying",1,589
7,"BGWB","wm6",1,1463
7,"BGWB","evil",1,535
7,"BGWB","bm23",1,627
7,"BGWB","love",1,460
7,"BGWB","wm4",1,611
7,"BGWB","wicked",1,781
7,"BGWB","wm1",1,471
7,"BGWB","laughter",0,939
7,"WGBB","failure",1,1445
7,"WGBB","bf14",1,965
7,"WGBB","good",1,816
7,"WGBB","wf2",1,449
7,"WGBB","pleasure",1,545
7,"WGBB","wf3",1,516
7,"WGBB","evil",1,745
7,"WGBB","wf6",1,596
7,"WGBB","wicked",1,743
7,"WGBB","wm4",1,554
7,"WGBB","glory",1,1286
7,"WGBB","bm23",1,500
7,"WGBB","annoying",1,698
7,"WGBB","wm6",1,520
7,"WGBB","love",1,493
7,"WGBB","bm56",1,682
7,"WGBB","hate",1,600
7,"WGBB","wm1",1,546
7,"WGBB","pain",1,1326
7,"WGBB","bf23",1,475
7,"WGBB","wf3",1,377
7,"WGBB","laughter",1,460
7,"WGBB","bf56",1,602
7,"WGBB","terrible",1,484
7,"WGBB","wf2",1,474
7,"WGBB","horrible",1,1033
7,"WGBB","bm14",1,506
7,"WGBB","wf6",1,611
7,"WGBB","peace",0,906
7,"WGBB","wm6",1,625
7,"WGBB","wicked",1,778
7,"WGBB","bm56",1,413
7,"WGBB","joy",1,486
7,"WGBB","bm23",1,556
7,"WGBB","evil",1,920
7,"WGBB","wm4",1,501
7,"WGBB","wm1",1,403
7,"WGBB","pleasure",1,413
7,"WGBB","bf14",1,638
7,"WGBB","pain",1,510
7,"WGBB","bf23",1,411
7,"WGBB","joy",1,508
7,"WGBB","bf56",1,633
7,"WGBB","hate",1,546
7,"WGBB","bm14",1,461
7,"WGBB","failure",1,589
7,"WGBB","wm1",1,559
7,"WGBB","laughter",1,459
7,"WGBB","wm4",1,465
7,"WGBB","love",1,496
7,"WGBB","bf14",1,550
7,"WGBB","annoying",1,577
7,"WGBB","bm56",0,931
7,"WGBB","good",1,1639
7,"WGBB","bf23",1,792
7,"WGBB","peace",1,954
7,"WGBB","wf3",1,478
7,"WGBB","terrible",1,589
8,"BGWB","joy",1,1463
8,"BGWB","bf14",1,1326
8,"BGWB","laughter",1,819
8,"BGWB","bm56",1,732
8,"BGWB","love",1,568
8,"BGWB","wm6",1,667
8,"BGWB","peace",1,898
8,"BGWB","wm1",1,799
8,"BGWB","good",1,745
8,"BGWB","bm14",1,693
8,"BGWB","pleasure",1,699
8,"BGWB","bf23",1,505
8,"BGWB","bm23",1,665
8,"BGWB","wicked",1,680
8,"BGWB","bf56",1,510
8,"BGWB","glory",1,883
8,"BGWB","wf3",1,1602
8,"BGWB","annoying",0,2904
8,"BGWB","wm4",1,657
8,"BGWB","bf14",1,1610
8,"BGWB","terrible",0,2048
8,"BGWB","bm56",1,708
8,"BGWB","hate",1,633
8,"BGWB","wf2",1,1081
8,"BGWB","laughter",0,2258
8,"BGWB","bf23",1,967
8,"BGWB","horrible",1,587
8,"BGWB","bm23",1,637
8,"BGWB","evil",1,773
8,"BGWB","wf6",0,2748
8,"BGWB","failure",1,1324
8,"BGWB","bf56",1,625
8,"BGWB","pain",1,1026
8,"BGWB","wf6",1,1130
8,"BGWB","wicked",0,2206
8,"BGWB","wf3",1,1224
8,"BGWB","failure",1,889
8,"BGWB","wm1",1,567
8,"BGWB","bm14",1,816
8,"BGWB","peace",1,865
8,"BGWB","wm6",1,799
8,"BGWB","hate",1,833
8,"BGWB","wm4",1,689
8,"BGWB","annoying",1,904
8,"BGWB","bm23",1,725
8,"BGWB","pleasure",1,715
8,"BGWB","wf2",1,663
8,"BGWB","glory",1,1175
8,"BGWB","wm6",1,1081
8,"BGWB","pain",0,2700
8,"BGWB","bf23",1,773
8,"BGWB","horrible",1,1201
8,"BGWB","wf6",1,730
8,"BGWB","evil",1,639
8,"BGWB","bf56",1,623
8,"BGWB","good",1,1064
8,"BGWB","wm4",1,679
8,"BGWB","love",1,1166
8,"WGBB","joy",1,2915
8,"WGBB","bf14",1,745
8,"WGBB","annoying",1,782
8,"WGBB","bf23",1,567
