"subject","blockcode","measure","condition","stimulusitem1","correct","latency"
4,"test_DGMB","iat","DGMB","schifo",1,686
4,"test_DGMB","iat","DGMB","latte3.jpg",1,831
4,"test_DGMB","iat","DGMB","cattivo",1,915
4,"test_DGMB","iat","DGMB","latte5.jpg",1,881
4,"test_DGMB","iat","DGMB","terribile",1,1416
4,"test_DGMB","iat","DGMB","fond3.jpg",1,792
4,"test_DGMB","iat","DGMB","pace",1,1500
4,"test_DGMB","iat","DGMB","latte1.jpg",1,663
4,"test_DGMB","iat","DGMB","male",1,915
4,"test_DGMB","iat","DGMB","latte4.jpg",1,689
4,"test_DGMB","iat","DGMB","paradiso",1,802
4,"test_DGMB","iat","DGMB","latte6.jpg",1,2169
4,"test_DGMB","iat","DGMB","odio",1,645
4,"test_DGMB","iat","DGMB","fond7.jpg",1,823
4,"test_DGMB","iat","DGMB","odio",1,699
4,"test_DGMB","iat","DGMB","fond2.jpg",1,695
4,"test_DGMB","iat","DGMB","schifo",1,704
4,"practice_MGDB","iat","MGDB","nocivo",1,1153
4,"practice_MGDB","iat","MGDB","latte3.jpg",1,895
4,"practice_MGDB","iat","MGDB","schifo",1,872
4,"practice_MGDB","iat","MGDB","fond6.jpg",1,799
4,"practice_MGDB","iat","MGDB","fastidioso",1,893
4,"practice_MGDB","iat","MGDB","fond5.jpg",1,1326
4,"practice_MGDB","iat","MGDB","felicità",1,716
4,"practice_MGDB","iat","MGDB","latte6.jpg",1,1264
4,"practice_MGDB","iat","MGDB","ridere",1,747
4,"practice_MGDB","iat","MGDB","fond3.jpg",1,631
4,"practice_MGDB","iat","MGDB","agonia",1,1139
4,"practice_MGDB","iat","MGDB","latte5.jpg",1,934
4,"practice_MGDB","iat","MGDB","cattivo",1,816
4,"practice_MGDB","iat","MGDB","latte7.jpg",1,1057
4,"practice_MGDB","iat","MGDB","amore",1,810
4,"practice_MGDB","iat","MGDB","latte2.jpg",1,603
4,"practice_MGDB","iat","MGDB","odio",1,650
4,"practice_MGDB","iat","MGDB","latte1.jpg",1,995
4,"practice_MGDB","iat","MGDB","terribile",1,735
4,"practice_MGDB","iat","MGDB","fond1.jpg",1,744
4,"test_MGDB","iat","MGDB","fond2.jpg",1,1037
4,"test_MGDB","iat","MGDB","pace",1,675
4,"test_MGDB","iat","MGDB","latte4.jpg",1,1073
4,"test_MGDB","iat","MGDB","dolore",1,749
4,"test_MGDB","iat","MGDB","latte4.jpg",1,593
4,"test_MGDB","iat","MGDB","paradiso",1,853
4,"test_MGDB","iat","MGDB","fond7.jpg",1,934
4,"test_MGDB","iat","MGDB","male",1,695
4,"test_MGDB","iat","MGDB","latte5.jpg",1,633
4,"test_MGDB","iat","MGDB","meraviglioso",1,837
4,"test_MGDB","iat","MGDB","fond4.jpg",1,675
4,"test_MGDB","iat","MGDB","buono",1,655
4,"test_MGDB","iat","MGDB","latte7.jpg",1,753
4,"test_MGDB","iat","MGDB","gioia",1,613
4,"test_MGDB","iat","MGDB","fond4.jpg",1,534
4,"test_MGDB","iat","MGDB","bello",1,800
4,"test_MGDB","iat","MGDB","latte2.jpg",1,622
4,"test_MGDB","iat","MGDB","gloria",1,722
4,"test_MGDB","iat","MGDB","fond5.jpg",1,833
4,"test_MGDB","iat","MGDB","fallimento",1,869
4,"test_MGDB","iat","MGDB","fond2.jpg",1,553
4,"test_MGDB","iat","MGDB","brutto",1,757
4,"test_MGDB","iat","MGDB","fond1.jpg",1,491
4,"test_MGDB","iat","MGDB","orribile",1,637
4,"test_MGDB","iat","MGDB","latte3.jpg",1,524
4,"test_MGDB","iat","MGDB","piacere",1,667
4,"test_MGDB","iat","MGDB","fond3.jpg",1,583
4,"test_MGDB","iat","MGDB","stupendo",1,531
4,"test_MGDB","iat","MGDB","fond6.jpg",1,749
4,"test_MGDB","iat","MGDB","disastro",1,1281
4,"test_MGDB","iat","MGDB","latte6.jpg",1,975
4,"test_MGDB","iat","MGDB","brutto",1,656
4,"test_MGDB","iat","MGDB","fond7.jpg",1,673
4,"test_MGDB","iat","MGDB","eccellente",1,821
4,"test_MGDB","iat","MGDB","fond7.jpg",1,601
4,"test_MGDB","iat","MGDB","fallimento",1,656
4,"test_MGDB","iat","MGDB","latte1.jpg",1,721
4,"test_MGDB","iat","MGDB","gloria",1,1088
4,"test_MGDB","iat","MGDB","latte7.jpg",1,800
4,"test_MGDB","iat","MGDB","pace",1,575
6,"practice_MGDB","iat","MGDB","disastro",1,729
6,"practice_MGDB","iat","MGDB","latte4.jpg",1,754
6,"practice_MGDB","iat","MGDB","piacere",1,590
6,"practice_MGDB","iat","MGDB","latte7.jpg",1,578
6,"practice_MGDB","iat","MGDB","odio",1,524
6,"practice_MGDB","iat","MGDB","fond1.jpg",1,578
6,"practice_MGDB","iat","MGDB","brutto",1,572
6,"practice_MGDB","iat","MGDB","latte2.jpg",1,598
6,"practice_MGDB","iat","MGDB","eccellente",1,629
6,"practice_MGDB","iat","MGDB","latte6.jpg",1,681
6,"practice_MGDB","iat","MGDB","paradiso",1,608
6,"practice_MGDB","iat","MGDB","fond2.jpg",1,521
6,"practice_MGDB","iat","MGDB","stupendo",1,720
6,"practice_MGDB","iat","MGDB","fond3.jpg",1,647
6,"practice_MGDB","iat","MGDB","gioia",1,653
6,"practice_MGDB","iat","MGDB","latte1.jpg",1,599
6,"practice_MGDB","iat","MGDB","fallimento",1,550
6,"practice_MGDB","iat","MGDB","fond6.jpg",1,434
6,"practice_MGDB","iat","MGDB","felicità",1,614
6,"practice_MGDB","iat","MGDB","fond4.jpg",1,632
6,"test_MGDB","iat","MGDB","latte5.jpg",1,505
6,"test_MGDB","iat","MGDB","agonia",1,517
6,"test_MGDB","iat","MGDB","latte3.jpg",1,572
6,"test_MGDB","iat","MGDB","schifo",1,502
6,"test_MGDB","iat","MGDB","fond7.jpg",1,770
6,"test_MGDB","iat","MGDB","orribile",1,675
6,"test_MGDB","iat","MGDB","fond5.jpg",1,402
6,"test_MGDB","iat","MGDB","ridere",1,577
6,"test_MGDB","iat","MGDB","fond3.jpg",1,570
6,"test_MGDB","iat","MGDB","cattivo",1,572
6,"test_MGDB","iat","MGDB","fond7.jpg",1,510
6,"test_MGDB","iat","MGDB","gloria",1,514
6,"test_MGDB","iat","MGDB","latte3.jpg",1,585
6,"test_MGDB","iat","MGDB","bello",1,533
6,"test_MGDB","iat","MGDB","fond4.jpg",1,559
6,"test_MGDB","iat","MGDB","fastidioso",1,622
6,"test_MGDB","iat","MGDB","latte6.jpg",1,698
6,"test_MGDB","iat","MGDB","dolore",1,587
6,"test_MGDB","iat","MGDB","fond6.jpg",1,543
6,"test_MGDB","iat","MGDB","nocivo",1,844
6,"test_MGDB","iat","MGDB","latte7.jpg",1,530
6,"test_MGDB","iat","MGDB","pace",1,660
6,"test_MGDB","iat","MGDB","fond1.jpg",1,592
6,"test_MGDB","iat","MGDB","terribile",1,572
6,"test_MGDB","iat","MGDB","latte1.jpg",1,558
6,"test_MGDB","iat","MGDB","male",1,581
6,"test_MGDB","iat","MGDB","latte4.jpg",1,593
6,"test_MGDB","iat","MGDB","fallimento",1,469
6,"test_MGDB","iat","MGDB","fond2.jpg",1,1361
6,"test_MGDB","iat","MGDB","meraviglioso",1,663
6,"test_MGDB","iat","MGDB","latte5.jpg",1,539
6,"test_MGDB","iat","MGDB","buono",1,597
6,"test_MGDB","iat","MGDB","fond5.jpg",1,467
6,"test_MGDB","iat","MGDB","amore",1,520
6,"test_MGDB","iat","MGDB","latte2.jpg",1,471
6,"test_MGDB","iat","MGDB","nocivo",1,531
6,"test_MGDB","iat","MGDB","latte7.jpg",1,557
6,"test_MGDB","iat","MGDB","stupendo",1,668
6,"test_MGDB","iat","MGDB","fond3.jpg",1,464
6,"test_MGDB","iat","MGDB","ridere",1,508
6,"practice_DGMB","iat","DGMB","orribile",1,1547
6,"practice_DGMB","iat","DGMB","fond2.jpg",1,798
6,"practice_DGMB","iat","DGMB","brutto",1,772
6,"practice_DGMB","iat","DGMB","fond7.jpg",1,1406
6,"practice_DGMB","iat","DGMB","felicità",0,1299
6,"practice_DGMB","iat","DGMB","latte2.jpg",1,2126
6,"practice_DGMB","iat","DGMB","gioia",1,875
6,"practice_DGMB","iat","DGMB","latte7.jpg",1,1153
6,"practice_DGMB","iat","DGMB","terribile",1,1077
6,"practice_DGMB","iat","DGMB","latte3.jpg",1,1315
6,"practice_DGMB","iat","DGMB","amore",1,1166
6,"practice_DGMB","iat","DGMB","latte1.jpg",1,998
6,"practice_DGMB","iat","DGMB","odio",1,1869
6,"practice_DGMB","iat","DGMB","latte4.jpg",1,2327
6,"practice_DGMB","iat","DGMB","schifo",1,1035
6,"practice_DGMB","iat","DGMB","latte5.jpg",1,841
6,"practice_DGMB","iat","DGMB","stupendo",1,760
6,"practice_DGMB","iat","DGMB","fond6.jpg",1,606
6,"practice_DGMB","iat","DGMB","cattivo",1,997
6,"practice_DGMB","iat","DGMB","fond3.jpg",1,667
6,"test_DGMB","iat","DGMB","fond4.jpg",1,1242
6,"test_DGMB","iat","DGMB","fallimento",1,936
6,"test_DGMB","iat","DGMB","latte6.jpg",1,1681
6,"test_DGMB","iat","DGMB","ridere",1,678
6,"test_DGMB","iat","DGMB","fond1.jpg",0,725
6,"test_DGMB","iat","DGMB","eccellente",1,1252
6,"test_DGMB","iat","DGMB","latte6.jpg",1,748
6,"test_DGMB","iat","DGMB","disastro",1,592
6,"test_DGMB","iat","DGMB","fond5.jpg",1,791
6,"test_DGMB","iat","DGMB","piacere",1,1139
6,"test_DGMB","iat","DGMB","fond5.jpg",1,702
6,"test_DGMB","iat","DGMB","paradiso",0,1239
6,"test_DGMB","iat","DGMB","latte5.jpg",1,1437
6,"test_DGMB","iat","DGMB","agonia",1,1003
6,"test_DGMB","iat","DGMB","latte7.jpg",1,1337
6,"test_DGMB","iat","DGMB","buono",1,793
6,"test_DGMB","iat","DGMB","latte3.jpg",1,815
6,"test_DGMB","iat","DGMB","fastidioso",1,1329
6,"test_DGMB","iat","DGMB","fond4.jpg",1,657
6,"test_DGMB","iat","DGMB","bello",1,723
6,"test_DGMB","iat","DGMB","latte4.jpg",0,777
6,"test_DGMB","iat","DGMB","meraviglioso",1,1146
6,"test_DGMB","iat","DGMB","fond3.jpg",0,838
6,"test_DGMB","iat","DGMB","pace",1,2588
6,"test_DGMB","iat","DGMB","fond2.jpg",1,909
6,"test_DGMB","iat","DGMB","nocivo",1,1145
6,"test_DGMB","iat","DGMB","latte2.jpg",1,916
6,"test_DGMB","iat","DGMB","dolore",1,1019
6,"test_DGMB","iat","DGMB","fond7.jpg",1,1006
6,"test_DGMB","iat","DGMB","gloria",1,1466
6,"test_DGMB","iat","DGMB","latte1.jpg",1,1941
6,"test_DGMB","iat","DGMB","male",1,2044
6,"test_DGMB","iat","DGMB","fond1.jpg",1,969
6,"test_DGMB","iat","DGMB","pace",1,807
6,"test_DGMB","iat","DGMB","fond6.jpg",1,760
6,"test_DGMB","iat","DGMB","cattivo",1,727
6,"test_DGMB","iat","DGMB","latte5.jpg",1,1032
6,"test_DGMB","iat","DGMB","terribile",1,620
6,"test_DGMB","iat","DGMB","fond5.jpg",1,816
6,"test_DGMB","iat","DGMB","gloria",1,697
8,"practice_MGDB","iat","MGDB","meraviglioso",0,1031
8,"practice_MGDB","iat","MGDB","latte5.jpg",1,1285
8,"practice_MGDB","iat","MGDB","orribile",1,1939
8,"practice_MGDB","iat","MGDB","fond5.jpg",1,954
8,"practice_MGDB","iat","MGDB","brutto",0,782
8,"practice_MGDB","iat","MGDB","fond6.jpg",1,1186
8,"practice_MGDB","iat","MGDB","felicità",1,1221
8,"practice_MGDB","iat","MGDB","latte7.jpg",1,752
8,"practice_MGDB","iat","MGDB","schifo",1,724
8,"practice_MGDB","iat","MGDB","latte2.jpg",1,733
8,"practice_MGDB","iat","MGDB","fastidioso",1,919
8,"practice_MGDB","iat","MGDB","fond4.jpg",1,725
8,"practice_MGDB","iat","MGDB","gioia",1,676
8,"practice_MGDB","iat","MGDB","latte1.jpg",1,619
8,"practice_MGDB","iat","MGDB","paradiso",1,2052
8,"practice_MGDB","iat","MGDB","fond2.jpg",1,635
8,"practice_MGDB","iat","MGDB","gloria",1,935
8,"practice_MGDB","iat","MGDB","latte3.jpg",1,584
8,"practice_MGDB","iat","MGDB","agonia",1,653
8,"practice_MGDB","iat","MGDB","fond1.jpg",0,430
8,"test_MGDB","iat","MGDB","fond7.jpg",1,800
8,"test_MGDB","iat","MGDB","terribile",1,558
8,"test_MGDB","iat","MGDB","latte4.jpg",1,469
8,"test_MGDB","iat","MGDB","pace",1,402
8,"test_MGDB","iat","MGDB","latte6.jpg",1,465
8,"test_MGDB","iat","MGDB","cattivo",1,661
8,"test_MGDB","iat","MGDB","latte5.jpg",1,521
8,"test_MGDB","iat","MGDB","ridere",1,768
8,"test_MGDB","iat","MGDB","latte3.jpg",1,489
8,"test_MGDB","iat","MGDB","stupendo",0,651
8,"test_MGDB","iat","MGDB","fond3.jpg",1,940
8,"test_MGDB","iat","MGDB","male",1,717
8,"test_MGDB","iat","MGDB","fond2.jpg",1,492
8,"test_MGDB","iat","MGDB","disastro",1,678
8,"test_MGDB","iat","MGDB","latte2.jpg",1,524
8,"test_MGDB","iat","MGDB","odio",0,580
8,"test_MGDB","iat","MGDB","fond5.jpg",1,888
8,"test_MGDB","iat","MGDB","amore",1,742
8,"test_MGDB","iat","MGDB","latte4.jpg",1,1602
8,"test_MGDB","iat","MGDB","bello",1,703
8,"test_MGDB","iat","MGDB","fond1.jpg",1,699
8,"test_MGDB","iat","MGDB","fallimento",1,509
8,"test_MGDB","iat","MGDB","latte6.jpg",1,465
8,"test_MGDB","iat","MGDB","dolore",0,509
8,"test_MGDB","iat","MGDB","latte1.jpg",1,890
8,"test_MGDB","iat","MGDB","buono",0,675
8,"test_MGDB","iat","MGDB","fond3.jpg",1,1049
8,"test_MGDB","iat","MGDB","eccellente",1,986
8,"test_MGDB","iat","MGDB","fond4.jpg",1,878
8,"test_MGDB","iat","MGDB","nocivo",1,692
8,"test_MGDB","iat","MGDB","fond6.jpg",1,670
8,"test_MGDB","iat","MGDB","piacere",1,674
8,"test_MGDB","iat","MGDB","fond7.jpg",1,744
8,"test_MGDB","iat","MGDB","pace",1,509
8,"test_MGDB","iat","MGDB","latte7.jpg",0,697
8,"test_MGDB","iat","MGDB","paradiso",0,1058
8,"test_MGDB","iat","MGDB","fond5.jpg",1,1010
8,"test_MGDB","iat","MGDB","orribile",1,1796
8,"test_MGDB","iat","MGDB","latte1.jpg",1,609
8,"test_MGDB","iat","MGDB","cattivo",1,767
8,"practice_DGMB","iat","DGMB","amore",1,827
8,"practice_DGMB","iat","DGMB","latte5.jpg",1,770
8,"practice_DGMB","iat","DGMB","eccellente",0,963
8,"practice_DGMB","iat","DGMB","latte4.jpg",1,873
8,"practice_DGMB","iat","DGMB","fallimento",0,421
8,"practice_DGMB","iat","DGMB","latte3.jpg",1,1497
8,"practice_DGMB","iat","DGMB","stupendo",1,1842
8,"practice_DGMB","iat","DGMB","latte6.jpg",1,799
8,"practice_DGMB","iat","DGMB","felicità",1,821
8,"practice_DGMB","iat","DGMB","fond4.jpg",1,825
8,"practice_DGMB","iat","DGMB","dolore",0,1517
8,"practice_DGMB","iat","DGMB","fond5.jpg",1,810
8,"practice_DGMB","iat","DGMB","orribile",1,667
8,"practice_DGMB","iat","DGMB","latte7.jpg",0,1079
8,"practice_DGMB","iat","DGMB","buono",1,870
8,"practice_DGMB","iat","DGMB","fond2.jpg",0,1057
8,"practice_DGMB","iat","DGMB","fastidioso",1,1850
8,"practice_DGMB","iat","DGMB","latte2.jpg",1,706
8,"practice_DGMB","iat","DGMB","meraviglioso",0,2950
8,"practice_DGMB","iat","DGMB","latte1.jpg",1,2742
8,"test_DGMB","iat","DGMB","fond1.jpg",1,545
8,"test_DGMB","iat","DGMB","ridere",1,478
8,"test_DGMB","iat","DGMB","fond6.jpg",1,453
8,"test_DGMB","iat","DGMB","pace",1,478
8,"test_DGMB","iat","DGMB","fond3.jpg",1,453
8,"test_DGMB","iat","DGMB","gioia",1,471
8,"test_DGMB","iat","DGMB","latte5.jpg",1,638
8,"test_DGMB","iat","DGMB","terribile",1,533
8,"test_DGMB","iat","DGMB","latte3.jpg",1,446
8,"test_DGMB","iat","DGMB","brutto",1,493
8,"test_DGMB","iat","DGMB","latte7.jpg",1,479
8,"test_DGMB","iat","DGMB","agonia",1,686
8,"test_DGMB","iat","DGMB","latte4.jpg",1,456
8,"test_DGMB","iat","DGMB","disastro",1,562
8,"test_DGMB","iat","DGMB","fond7.jpg",1,720
8,"test_DGMB","iat","DGMB","gloria",1,879
8,"test_DGMB","iat","DGMB","fond3.jpg",1,725
8,"test_DGMB","iat","DGMB","male",1,684
8,"test_DGMB","iat","DGMB","fond4.jpg",1,562
8,"test_DGMB","iat","DGMB","cattivo",1,1601
8,"test_DGMB","iat","DGMB","fond6.jpg",1,631
8,"test_DGMB","iat","DGMB","nocivo",1,579
8,"test_DGMB","iat","DGMB","fond2.jpg",1,663
8,"test_DGMB","iat","DGMB","odio",1,635
8,"test_DGMB","iat","DGMB","latte1.jpg",1,842
8,"test_DGMB","iat","DGMB","piacere",1,673
8,"test_DGMB","iat","DGMB","latte6.jpg",1,743
8,"test_DGMB","iat","DGMB","schifo",1,747
8,"test_DGMB","iat","DGMB","fond5.jpg",1,487
8,"test_DGMB","iat","DGMB","terribile",1,782
8,"test_DGMB","iat","DGMB","fond1.jpg",1,746
8,"test_DGMB","iat","DGMB","bello",1,1230
8,"test_DGMB","iat","DGMB","latte2.jpg",1,681
8,"test_DGMB","iat","DGMB","nocivo",1,680
8,"test_DGMB","iat","DGMB","fond7.jpg",1,599
8,"test_DGMB","iat","DGMB","paradiso",1,1126
8,"test_DGMB","iat","DGMB","fond6.jpg",1,630
8,"test_DGMB","iat","DGMB","gioia",1,602
8,"test_DGMB","iat","DGMB","latte7.jpg",1,561
8,"test_DGMB","iat","DGMB","stupendo",1,1184
11,"practice_DGMB","iat","DGMB","gioia",1,3202
11,"practice_DGMB","iat","DGMB","fond2.jpg",0,1156
11,"practice_DGMB","iat","DGMB","felicità",1,3203
11,"practice_DGMB","iat","DGMB","latte4.jpg",1,1117
11,"practice_DGMB","iat","DGMB","odio",1,1235
11,"practice_DGMB","iat","DGMB","latte2.jpg",1,1529
11,"practice_DGMB","iat","DGMB","bello",1,1263
11,"practice_DGMB","iat","DGMB","latte7.jpg",1,746
11,"practice_DGMB","iat","DGMB","dolore",1,1206
11,"practice_DGMB","iat","DGMB","fond3.jpg",1,1142
11,"practice_DGMB","iat","DGMB","schifo",1,1184
11,"practice_DGMB","iat","DGMB","fond1.jpg",1,794
11,"practice_DGMB","iat","DGMB","buono",1,870
11,"practice_DGMB","iat","DGMB","latte3.jpg",1,842
11,"practice_DGMB","iat","DGMB","gloria",1,2904
11,"practice_DGMB","iat","DGMB","fond5.jpg",1,1481
11,"practice_DGMB","iat","DGMB","terribile",1,623
11,"practice_DGMB","iat","DGMB","fond4.jpg",1,595
11,"practice_DGMB","iat","DGMB","brutto",0,1198
11,"practice_DGMB","iat","DGMB","latte5.jpg",1,1989
11,"test_DGMB","iat","DGMB","fond7.jpg",1,1303
11,"test_DGMB","iat","DGMB","male",0,538
11,"test_DGMB","iat","DGMB","latte6.jpg",1,1815
11,"test_DGMB","iat","DGMB","paradiso",1,630
11,"test_DGMB","iat","DGMB","latte1.jpg",1,642
11,"test_DGMB","iat","DGMB","agonia",1,2121
11,"test_DGMB","iat","DGMB","latte2.jpg",1,1158
11,"test_DGMB","iat","DGMB","eccellente",1,924
11,"test_DGMB","iat","DGMB","latte7.jpg",1,658
11,"test_DGMB","iat","DGMB","orribile",1,1148
11,"test_DGMB","iat","DGMB","fond6.jpg",1,1007
11,"test_DGMB","iat","DGMB","pace",1,1045
11,"test_DGMB","iat","DGMB","latte3.jpg",1,734
11,"test_DGMB","iat","DGMB","disastro",1,768
11,"test_DGMB","iat","DGMB","fond3.jpg",1,1729
11,"test_DGMB","iat","DGMB","cattivo",1,846
11,"test_DGMB","iat","DGMB","latte4.jpg",1,991
11,"test_DGMB","iat","DGMB","amore",1,939
11,"test_DGMB","iat","DGMB","fond5.jpg",0,702
11,"test_DGMB","iat","DGMB","ridere",1,1567
11,"test_DGMB","iat","DGMB","latte5.jpg",1,695
11,"test_DGMB","iat","DGMB","fallimento",1,785
11,"test_DGMB","iat","DGMB","latte6.jpg",1,1453
11,"test_DGMB","iat","DGMB","nocivo",1,805
11,"test_DGMB","iat","DGMB","latte1.jpg",1,750
11,"test_DGMB","iat","DGMB","piacere",1,730
11,"test_DGMB","iat","DGMB","fond1.jpg",1,1155
11,"test_DGMB","iat","DGMB","meraviglioso",1,1047
11,"test_DGMB","iat","DGMB","fond2.jpg",1,543
11,"test_DGMB","iat","DGMB","fastidioso",1,1012
11,"test_DGMB","iat","DGMB","fond7.jpg",1,1077
11,"test_DGMB","iat","DGMB","stupendo",1,1827
11,"test_DGMB","iat","DGMB","fond4.jpg",1,1597
11,"test_DGMB","iat","DGMB","gloria",1,802
11,"test_DGMB","iat","DGMB","latte6.jpg",1,577
11,"test_DGMB","iat","DGMB","buono",1,1275
11,"test_DGMB","iat","DGMB","fond6.jpg",1,992
11,"test_DGMB","iat","DGMB","fallimento",1,2356
11,"test_DGMB","iat","DGMB","fond3.jpg",1,1112
11,"test_DGMB","iat","DGMB","dolore",1,1067
11,"practice_MGDB","iat","MGDB","disastro",1,1002
11,"practice_MGDB","iat","MGDB","fond4.jpg",1,723
11,"practice_MGDB","iat","MGDB","gloria",1,634
11,"practice_MGDB","iat","MGDB","fond5.jpg",1,664
11,"practice_MGDB","iat","MGDB","fastidioso",1,812
11,"practice_MGDB","iat","MGDB","latte4.jpg",1,669
11,"practice_MGDB","iat","MGDB","odio",1,890
11,"practice_MGDB","iat","MGDB","fond3.jpg",1,635
11,"practice_MGDB","iat","MGDB","meraviglioso",1,935
11,"practice_MGDB","iat","MGDB","fond6.jpg",1,584
11,"practice_MGDB","iat","MGDB","orribile",1,644
11,"practice_MGDB","iat","MGDB","latte5.jpg",1,557
11,"practice_MGDB","iat","MGDB","male",1,757
11,"practice_MGDB","iat","MGDB","fond1.jpg",1,571
11,"practice_MGDB","iat","MGDB","schifo",1,645
11,"practice_MGDB","iat","MGDB","fond7.jpg",1,542
11,"practice_MGDB","iat","MGDB","brutto",0,610
11,"practice_MGDB","iat","MGDB","latte2.jpg",1,860
11,"practice_MGDB","iat","MGDB","gioia",1,509
11,"practice_MGDB","iat","MGDB","latte3.jpg",1,401
11,"test_MGDB","iat","MGDB","fond2.jpg",1,945
11,"test_MGDB","iat","MGDB","dolore",1,580
11,"test_MGDB","iat","MGDB","fond3.jpg",1,569
11,"test_MGDB","iat","MGDB","fallimento",1,434
11,"test_MGDB","iat","MGDB","fond7.jpg",1,393
11,"test_MGDB","iat","MGDB","paradiso",1,542
11,"test_MGDB","iat","MGDB","latte6.jpg",1,474
11,"test_MGDB","iat","MGDB","nocivo",1,591
11,"test_MGDB","iat","MGDB","fond6.jpg",1,445
11,"test_MGDB","iat","MGDB","piacere",1,508
11,"test_MGDB","iat","MGDB","latte1.jpg",1,521
11,"test_MGDB","iat","MGDB","buono",1,536
11,"test_MGDB","iat","MGDB","fond2.jpg",1,553
11,"test_MGDB","iat","MGDB","amore",1,814
11,"test_MGDB","iat","MGDB","fond5.jpg",1,1015
11,"test_MGDB","iat","MGDB","terribile",1,2472
11,"test_MGDB","iat","MGDB","latte7.jpg",1,1217
11,"test_MGDB","iat","MGDB","eccellente",0,530
11,"test_MGDB","iat","MGDB","latte4.jpg",1,907
11,"test_MGDB","iat","MGDB","agonia",1,623
11,"test_MGDB","iat","MGDB","latte5.jpg",1,539
11,"test_MGDB","iat","MGDB","pace",1,517
11,"test_MGDB","iat","MGDB","fond4.jpg",1,484
11,"test_MGDB","iat","MGDB","stupendo",1,922
11,"test_MGDB","iat","MGDB","latte7.jpg",0,681
11,"test_MGDB","iat","MGDB","bello",1,1656
11,"test_MGDB","iat","MGDB","latte6.jpg",1,760
11,"test_MGDB","iat","MGDB","cattivo",1,1046
11,"test_MGDB","iat","MGDB","latte2.jpg",1,671
11,"test_MGDB","iat","MGDB","felicità",1,651
11,"test_MGDB","iat","MGDB","latte3.jpg",1,869
11,"test_MGDB","iat","MGDB","ridere",1,400
11,"test_MGDB","iat","MGDB","latte1.jpg",1,415
11,"test_MGDB","iat","MGDB","cattivo",1,537
11,"test_MGDB","iat","MGDB","fond1.jpg",1,461
11,"test_MGDB","iat","MGDB","brutto",1,487
11,"test_MGDB","iat","MGDB","latte6.jpg",1,729
11,"test_MGDB","iat","MGDB","gioia",1,495
11,"test_MGDB","iat","MGDB","fond5.jpg",1,489
11,"test_MGDB","iat","MGDB","piacere",1,563
14,"practice_MGDB","iat","MGDB","dolore",1,859
14,"practice_MGDB","iat","MGDB","latte5.jpg",1,1399
14,"practice_MGDB","iat","MGDB","bello",1,788
14,"practice_MGDB","iat","MGDB","latte3.jpg",1,680
14,"practice_MGDB","iat","MGDB","felicità",1,679
